"_id","author_details","title","isbn","publisher","date_published","rating","bookshelf_id","bookshelf","read","series_details","pages","notes","list_price","anthology","location","read_start","read_end","format","signed","loaned_to","anthology_titles","description","genre","language","date_added","goodreads_book_id","last_goodreads_sync_date","last_update_date","book_uuid",
"32","Albers, Josef","Interaction Of Color","9780300115956","Yale University Press","2006","0","1,2,","Default,temporary pages,","0","","170","","","0","","","","","0","","","Josef Albers’s Interaction of Color is a masterwork in twentieth-century art education. Conceived as a handbook and teaching aid for artists, instructors, and students, this timeless book presents Albers’s unique ideas of color experimentation in a way that is valuable to specialists as well as to a larger audience. Originally published by Yale University Press in 1963 as a limited silkscreen edition with 150 color plates, Interaction of Color first appeared in paperback in 1971, featuring ten representative color studies chosen by Albers. The paperback has remained in print ever since and is one of the most influential resources on color for countless readers. This new paperback edition presents a significantly expanded selection of more than thirty color studies alongside Albers’s original unabridged text, demonstrating such principles as color relativity, intensity, and temperature; vibrating and vanishing boundaries; and the illusions of transparency and reversed grounds. Now available in a larger format and with enhanced production values, this expanded edition celebrates the unique authority of Albers’s contribution to color theory and brings the artist’s iconic study to an eager new generation of readers.","Art / Color Theory","","2017-12-17 17:01:55","0","0000-00-00","2017-12-17 21:40:36","f46f3a775af09af9bcd553eed70ebd86",
"33","Dmytryk, Edward","On Film Editing","9780240517384","Taylor & Francis","1984","0","1,","Default,","0","","162","","","0","","","","","0","","","On Film Editing explains, in simple terms, the principles of film editing, using examples and anecdotes. Written in an informal ""how-to-do-it"" style, renowned director Edward Dmytyrk shares his expertise and experience in film editing in an anecdotal and philosophical way.In On Film Editing, Dmytryk contends that many technicians and professionals on the film crew-- from the cameraman and his assistants to the producer and director-- must understand film editing to produce a truly polished work. In this book he explains in layman's terms the principles of film editing, using examples and anecdotes from almost five decades in the film industry.A perfect introduction to film editing.Written in easy to understand languageSupported by examples from famous films and the author's vast experience.","Performing Arts / Television / Direction & Production","","2017-12-17 17:02:08","0","0000-00-00","2017-12-17 21:40:38","8ab0b492039d22cb5da04de942f58cae",
"34","Dewey, John","Art As Experience","9780399531972","Penguin","2005","0","1,","Default,","0","","390","","","0","","","","","0","","","Based on John Dewey&#39;s lectures on esthetics, delivered as the first William James Lecturer at Harvard in 1932, Art as Experience has grown to be considered internationally as the most distinguished work ever written by an American on the formal structure and characteristic effects of all the arts: architecture, sculpture, painting, music, and literature.","Art / Criticism & Theory","","2017-12-17 17:02:22","0","0000-00-00","2017-12-17 21:40:40","af76a6a2cf80863903b2485a8a8cf4ed",
"35","Johns, Adrian","Pirátství","9788072947119","Host","2013","0","1,","Default,","0","","633","","","0","","","","","0","","","","","","2017-12-17 17:08:31","0","0000-00-00","2017-12-17 21:40:42","7e0ff6409a72f92b81a63cb51ce8650e",
"36","Teixeira, Pedro","Professional Node.js","9781118185469","John Wiley & Sons","2012-10-23","0","1,","Default,","0","","408","","","0","","","","","0","","","Learn to build fast and scalable software in JavaScript with Node.js Node.js is a powerful and popular new framework for writing scalable network programs using JavaScript. This no nonsense book begins with an overview of Node.js and then quickly dives into the code, core concepts, and APIs. In-depth coverage pares down the essentials to cover debugging, unit testing, and flow control so that you can start building and testing your own modules right away.  Covers node and asynchronous programming main concepts Addresses the basics: modules, buffers, events, and timers Explores streams, file systems, networking, and automated unit testing Goes beyond the basics, and shares techniques and tools for debugging, unit testing, and flow control  If you already know JavaScript and are curious about the power of Node.js, then this is the ideal book for you.","Computers / Programming Languages / JavaScript","","2017-12-17 17:08:50","0","0000-00-00","2017-12-17 21:40:44","faedfc5305e41ac07e2259d53b13c0e0",
"37","Ketelsen, Brian|Martin, Erik St.|Kennedy, William|Martin, Erik Saint","Go in Action","9781617291784","Manning Publications","2015-07-31","0","1,","Default,","0","","241","","","0","","","","","0","","","Summary Go in Action introduces the Go language, guiding you from inquisitive developer to Go guru. The book begins by introducing the unique features and concepts of Go. Then, you'll get hands-on experience writing real-world applications including websites and network servers, as well as techniques to manipulate and convert data at speeds that will make your friends jealous. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology Application development can be tricky enough even when you aren't dealing with complex systems programming problems like web-scale concurrency and real-time performance. While it's possible to solve these common issues with additional tools and frameworks, Go handles them right out of the box, making for a more natural and productive coding experience. Developed at Google, Go powers nimble startups as well as big enterprises--companies that rely on high-performing services in their infrastructure. About the Book Go in Action is for any intermediate-level developer who has experience with other programming languages and wants a jump-start in learning Go or a more thorough understanding of the language and its internals. This book provides an intensive, comprehensive, and idiomatic view of Go. It focuses on the specification and implementation of the language, including topics like language syntax, Go's type system, concurrency, channels, and testing. What's Inside  Language specification and implementation Go's type system Internals of Go's data structures Testing and benchmarking  About the Reader This book assumes you're a working developer proficient with another language like Java, Ruby, Python, C#, or C++. About the Authors William Kennedy is a seasoned software developer and author of the blog GoingGo.Net. Brian Ketelsen and Erik St. Martin are the organizers of GopherCon and coauthors of the Go-based Skynet framework. Table of Contents  Introducing Go Go quick-start Packaging and tooling Arrays, slices, and maps Go's type system Concurrency Concurrency patterns Standard library Testing and benchmarking","Computers / Internet / Application Development","","2017-12-17 17:09:06","0","0000-00-00","2017-12-17 21:40:46","3b8b97c6eaf40b77efd51dd037cadf94",
"38","Chang, Sau Sheong","Go Web Programming","9781617292569","Manning Publications Company","2016","0","1,","Default,","0","","292","","","0","","","","","0","","","Summary Go Web Programming teaches you how to build scalable, high-performance web applications in Go using modern design principles. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology The Go language handles the demands of scalable, high-performance web applications by providing clean and fast compiled code, garbage collection, a simple concurrency model, and a fantastic standard library. It's perfect for writing microservices or building scalable, maintainable systems. About the Book Go Web Programming teaches you how to build web applications in Go using modern design principles. You'll learn how to implement the dependency injection design pattern for writing test doubles, use concurrency in web applications, and create and consume JSON and XML in web services. Along the way, you'll discover how to minimize your dependence on external frameworks, and you'll pick up valuable productivity techniques for testing and deploying your applications. What's Inside  Basics Testing and benchmarking Using concurrency Deploying to standalone servers, PaaS, and Docker Dozens of tips, tricks, and techniques  About the Reader This book assumes you're familiar with Go language basics and the general concepts of web development. About the Author Sau Sheong Chang is Managing Director of Digital Technology at Singapore Power and an active contributor to the Ruby and Go communities. Table of Contents PART 1 GO AND WEB APPLICATIONS  Go and web applications Go ChitChat  PART 2 BASIC WEB APPLICATIONS  Handling requests Processing requests Displaying content Storing data  PART 3 BEING REAL  Go web services Testing your application Leveraging Go concurrency Deploying Go","Computers / Web / Web Services & APIs","","2017-12-17 17:09:19","0","0000-00-00","2017-12-17 21:40:48","72d03b242e85e4b28f62fb1352d5b31e",
"39","Butcher, Matt|Farina, Matt","Go in Practice","9781633430075","Manning Publications Company","2016-07-28","0","1,","Default,","0","","287","","","0","","","","","0","","","Summary Go in Practice guides you through 70 real-world techniques in key areas like package management, microservice communication, and more. Following a cookbook-style Problem/Solution/Discussion format, this practical handbook builds on the foundational concepts of the Go language and introduces specific strategies you can use in your day-to-day applications. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the Technology Go may be the perfect systems language. Built with simplicity, concurrency, and modern applications in mind, Go provides the core tool set for rapidly building web, cloud, and systems applications. If you know a language like Java or C#, it's easy to get started with Go; the trick is finding the practical dirt-under-the-fingernails techniques that you need to build production-ready code. About the Book Go in Practice guides you through dozens of real-world techniques in key areas. Following a cookbook-style Problem/Solution/Discussion format, this practical handbook builds on the foundational concepts of the Go language and introduces specific strategies you can use in your day-to-day applications. You'll learn techniques for building web services, using Go in the cloud, testing and debugging, routing, network applications, and much more. After finishing this book, you will be ready to build sophisticated cloud-native Go applications. What's Inside  Dozens of specific, practical Golang techniques Using Go for devops and cloudops Writing RESTful web services and microservices Practical web dev techniques  About the Reader Written for experienced developers who have already started exploring Go and want to use it effectively in a production setting. About the Authors Matt Farina is a software architect at Deis. Matt Butcher is a Principal Engineer in the Advanced Technology Group at Hewlett Packard Enterprise. They are both authors, speakers, and regular open source contributors. Table of Contents PART 1 - BACKGROUND AND FUNDAMENTALS  Getting into Go A solid foundation Concurrency in Go  PART 2 - WELL-ROUNDED APPLICATIONS  Handling errors and panic Debugging and testing  PART 3 - AN INTERFACE FOR YOUR APPLICATIONS  HTML and email template patterns Serving and receiving assets and forms Working with web services  PART 4 - TAKING YOUR APPLICATIONS TO THE CLOUD  Using the cloud Communication between cloud services Reflection and code generation","","","2017-12-17 17:09:30","0","0000-00-00","2017-12-17 21:40:50","5a55db42e883125fde0f80b8782aac87",
"40","Graeber, David","Fragmenty anarchisticke antropologie","9788087259191","","","0","1,","Default,","0","","","","","0","","","","","0","","","","","","2017-12-17 17:14:12","0","0000-00-00","2017-12-17 21:40:52","ac135454de93882239f223ae8e9cfcab",
"41","Tufte, Edward R.","Visual Display of Quantitave Information, The","9780961392147","","","0","1,","Default,","0","","","","","0","","","","","0","","","","","","2017-12-17 17:17:30","0","0000-00-00","2017-12-17 21:40:54","9d0bf77836d3ffa63e38747808f2806f",
